lambda,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
5,15,47,0.15337486633939457,0.0029109813583146986,0.04564902274678327,0.1688888888813827,0.15384615383919248,6.052092099998845,0.013523985365677092,0
5,15,48,1.0,0.24641762850959933,0.4481629082529762,0.875555555516642,0.0,5.4506579999942915,-0.0,1
5,15,49,1.0,0.331626278725925,0.5366108906654338,0.8666666666281481,0.0,10.425745200001984,-0.0,1
5,20,40,1.0,0.241183374060934,0.44072596718468166,0.8924999999776875,0.0,10.083010900001682,-0.0,1
5,20,41,1.0,0.26705396503594997,0.47283216742415046,0.9124999999771874,0.0,10.471086300000024,-0.0,1
5,20,42,1.0,0.2984831215492853,0.49476138761638533,0.924999999976875,0.0,10.188503800003673,-0.0,1
5,20,43,1.0,0.2900025242453835,0.49128377253101435,0.9124999999771874,0.0,9.877882199994929,-0.0,1
5,20,44,1.0,0.24724860823897735,0.44780397766182817,0.8924999999776875,0.0,9.727810399999726,-0.0,1
5,20,45,1.0,0.2659241171287336,0.45587982235820024,0.9074999999773125,0.0,9.999882600001001,-0.0,1
5,20,46,1.0,0.28926444994668676,0.4916127659795655,0.914999999977125,0.0,9.590416800005187,-0.0,1
5,20,47,0.3320586151915447,0.020640331691215482,0.12557889369490818,0.2374999999940625,0.15977961432066723,11.009915799993905,0.0069792774991011474,0
5,20,48,1.0,0.250989627948858,0.4427283890688377,0.8774999999780625,0.0,8.52897409999423,-0.0,1
5,20,49,1.0,0.2752330907310871,0.4803285702535503,0.9024999999774375,0.0,10.636829700000817,-0.0,1
10,7,40,0.1538121755247561,0.009721025441778762,0.09420705699830396,0.4081632652228238,0.17142857137959183,5.9129321000000346,0.0016346407750170541,0
10,7,41,0.1465124609769831,0.005384782705786023,0.062203254787463386,0.5510204080508122,0.26666666657777777,6.280871199996909,0.00253883064028636,0
10,7,42,0.10953663382566865,0.003053222286648578,0.043992936663092286,0.5102040815285298,0.36842105253462604,6.573205200002121,0.0009483507326666779,0
10,7,43,0.08643397261140769,0.0010333051926663445,0.025617953122542513,0.530612244789671,0.34285714275918366,6.4889372999969055,0.00040317906482120736,0
10,7,44,0.2913722424431737,0.013362140743887214,0.11443726552148631,0.5510204080508122,0.15384615378698224,6.580566799995722,0.00037687598941003495,0
10,7,45,0.11298875596763441,0.0038112389353494305,0.05531759733054744,0.6530612243565181,0.319999999872,7.140926700005366,0.0011797109830737965,0
10,7,46,0.1853155004290411,0.008887406739511296,0.09047869438262428,0.5510204080508122,0.31249999990234373,6.445306800000253,0.0007198619087700133,0
10,7,47,0.5943520230488842,0.195317735990736,0.3969294897714758,0.530612244789671,0.2580645160457856,7.070104499995068,9.973838280099157e-05,0
10,7,48,0.12693120420307272,0.007144096764909694,0.08301317466983915,0.4693877550062474,0.18749999994140626,6.585125600002357,0.0006065452048858479,0
10,7,49,0.3141331439893997,0.01037693599894686,0.10186724693907684,0.6122448978342357,0.09523809519274376,7.057221600000048,0.0009558247866969508,0
10,10,40,0.6396375223437729,0.14158305477017538,0.3507092264251675,0.6699999999330001,0.3999999999272727,7.066851199997473,0.00035148566767051486,0
