factor,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
1,20,47,0.19320544663648093,0.007041563204088845,0.07126484856027311,0.7674999999808125,0.37583892614927256,2.8850450000027195,0.026633886718049383,0
1,20,48,0.6075283682820629,0.09111862345258431,0.27010678299152796,0.694999999982625,0.4454545454342975,3.7316261999949347,0.06462526829846403,0
1,20,49,0.15290660441708684,0.0044855836358381656,0.05657463119749753,0.7149999999821249,0.40624999997884115,3.3107268999883672,0.04937983459050138,0
2,7,40,0.2453680136878045,0.033063364183195706,0.17969806501840827,0.85714285696793,0.46153846118343195,1.779411000010441,0.0026477238823396604,0
2,7,41,0.21218096303351644,0.012264255560605099,0.09728358296155748,0.7551020406622241,0.3999999998,1.9474801999895135,0.017827095960359553,0
2,7,42,0.1933595941394137,0.010255901256647774,0.09013476333367611,0.8367346937067889,0.6363636360743802,2.299907599997823,0.00953872932709951,0
2,7,43,0.21658907275153458,0.010731753269521917,0.09807044981590535,0.8367346937067889,0.5555555552469136,2.171301599999424,0.00022777920911613465,0
2,7,44,0.45585867028995636,0.035763606604634526,0.1883659139115822,0.9999999997959184,0.9999999975,0.5738896999973804,-0.0,1
2,7,45,0.31995775517962805,0.035609671085390246,0.17626186356741513,0.8163265304456476,0.470588235017301,1.644060000005993,0.003168620447552239,0
2,7,46,0.2581478751914332,0.018323380328269235,0.1288655281641582,0.8775510202290712,0.624999999609375,1.5973128999903565,0.017095441843063604,0
2,7,47,0.08235281091152583,0.0019447751692174306,0.03941002857983064,0.8163265304456476,0.470588235017301,1.7230219000048237,0.023091338935385616,0
2,7,48,0.25722160673413136,0.03736171986747475,0.1930728986026712,0.7551020406622241,0.3333333331481481,2.3343199999944773,0.0986392353129958,0
2,7,49,0.60011846977845,0.04577906536856221,0.21396042944563887,0.8775510202290712,0.24999999968749997,2.315306699994835,0.008930140008362373,0
2,10,40,0.21503910441871368,0.014442839922030791,0.08962012749676629,0.7799999999220001,0.4999999998863636,2.2059205999976257,0.019733042959954792,0
2,10,41,0.1536806909154542,0.00657429758389637,0.06908622768779532,0.829999999917,0.5405405403944485,1.9674621000012849,0.0004472565237277175,0
2,10,42,0.20176839061715704,0.00925477256537261,0.08999026933646749,0.679999999932,0.44827586199167657,2.1755677000037394,0.03586875741091977,0
2,10,43,0.30389870388219287,0.03195446960146443,0.17183452549435616,0.8499999999150001,0.44444444427983537,2.541414600011194,0.005893374944524633,0
2,10,44,0.2627669605024752,0.017668378445615494,0.12175154920717217,0.8499999999150001,0.5161290320915712,2.5245348000025842,0.01688401415164102,0
2,10,45,0.18519967116704716,0.010863050977069875,0.08960837326314532,0.729999999927,0.4489795917451062,1.7643818999931682,0.026961894253850146,0
2,10,46,0.2180181633071652,0.00995567360696282,0.08835322656999739,0.729999999927,0.5573770490889546,1.782502400004887,0.0780685538002365,0
2,10,47,0.17193771740244082,0.008773801602097838,0.08591998774658023,0.8899999999110001,0.5217391302079395,2.4847507999947993,0.0010484954568261056,0
2,10,48,0.18130926960196864,0.009282399892385008,0.0789908599809934,0.749999999925,0.41860465106544076,3.4956423999974504,0.0315444102877457,0
2,10,49,0.21483451314740082,0.0200675122895106,0.11626112656184293,0.6299999999370001,0.43076923070295864,2.0893247999920277,0.0527872271815373,0
2,15,40,0.23261545901460307,0.010547656908070163,0.07472406167790861,0.7555555555219753,0.4660194174304836,2.5226920999994036,0.06590275586700037,0
2,15,41,0.2163545807205047,0.007763989995478851,0.07375454780340565,0.7777777777432099,0.3902439023914337,3.351129899994703,0.05797851001679062,0
2,15,42,0.183269461723796,0.01000707332347925,0.08227109677799686,0.6844444444140246,0.3603603603278955,2.8808464000030654,0.11868872761502261,0
2,15,43,0.13032935175919877,0.0041022497702752,0.048323221643292454,0.7377777777449877,0.39175257727920076,2.36679610000283,0.06147711617343973,0
2,15,44,0.22485263858872878,0.010188370077736387,0.08320164137863421,0.7377777777449877,0.44859813079919647,2.612198700007866,0.11674118896809663,0
2,15,45,0.17425228121472508,0.007341078176644945,0.06939602151451485,0.7377777777449877,0.44859813079919647,3.062545399996452,0.02619505946037795,0
2,15,46,0.19805667066397759,0.01071634541216271,0.08760306684045438,0.7422222221892345,0.4313725489773164,2.6269488999969326,0.14418537348827193,0
2,15,47,0.2027852919353919,0.010884500433684746,0.08214188315531826,0.7555555555219753,0.3820224718671885,2.4807350000046426,0.033611018491440166,0
2,15,48,0.15590030417385026,0.004697099711366212,0.05137115303359062,0.7911111110759506,0.5436893203355642,2.8127472999913152,0.06340121004288586,0
2,15,49,0.49570201974639955,0.07622176107404509,0.2512871404598677,0.5911111110848395,0.3947368420792936,3.3626954999926966,0.5229231300047442,0
2,20,40,0.1980848144364577,0.007616486399434379,0.0743195851291904,0.7399999999815,0.4468085106145314,2.8711820999888005,0.12731506006913257,0
2,20,41,0.17872355273699622,0.006148776509894168,0.06301622344960256,0.744999999981375,0.39999999997647057,3.1503806999971857,0.16438645475730593,0
2,20,42,0.18978712812690415,0.007303532436697061,0.06964442928075278,0.7174999999820625,0.34682080922850744,3.9440399000013713,0.08486712778046787,0
2,20,43,0.15589531860187505,0.0046052156539993045,0.05389681854660668,0.7099999999822499,0.3763440860012718,2.805421600001864,0.07622388161804243,0
2,20,44,0.22461731607815047,0.010994325176042792,0.08252101658645179,0.58999999998525,0.34399999998624,3.7179966999974567,0.07099705116118687,0
2,20,45,0.1669143545238914,0.004282280815844983,0.05398743331975072,0.72999999998175,0.39999999997777774,2.582038900000043,0.18813211628335727,0
2,20,46,0.15909567838573763,0.0051536751621147625,0.058262968438310206,0.6974999999825625,0.34594594592724615,2.490614900001674,0.07274693004285836,0
2,20,47,0.19316870996593782,0.0070413682012782,0.07126408338468421,0.7674999999808125,0.37583892614927256,2.4711194000119576,0.05236475676528811,0
2,20,48,0.6075222888101438,0.09111729857204577,0.2701041500779628,0.694999999982625,0.4454545454342975,2.580581699992763,0.12877094258072158,0
2,20,49,0.15284914541990696,0.004485120445836236,0.05656865976292119,0.7149999999821249,0.40624999997884115,2.3843370999966282,0.0973228218491183,0
5,7,40,0.24536163612182163,0.033064161974928785,0.17970017439037278,0.85714285696793,0.46153846118343195,1.3814331000030506,0.00649989764252822,0
5,7,41,0.19354773635081562,0.00996731226251918,0.08790060088066645,0.7551020406622241,0.3999999998,1.417312599995057,0.04487352199567093,0
5,7,42,0.19330708144572895,0.01025580603903692,0.09013317528703312,0.8367346937067889,0.6363636360743802,1.3835154000116745,0.022510597464208745,0
5,7,43,0.21658851133074827,0.010731869611887703,0.0980709248189442,0.8367346937067889,0.5555555552469136,1.4396323999972083,0.0005525771987162336,0
5,7,44,0.45585867028995636,0.035763606604634526,0.1883659139115822,0.9999999997959184,0.9999999975,0.40428449999308214,-0.0,1
5,7,45,0.31995098623738005,0.035610669486909365,0.1762642884984017,0.8163265304456476,0.470588235017301,1.4317364000016823,0.007745867611171663,0
5,7,46,0.2580518567534862,0.018324880551410645,0.12887000827857045,0.8775510202290712,0.624999999609375,1.35056180000538,0.04016131491493695,0
5,7,47,0.08923028442961066,0.0026790156056175954,0.04569297293948648,0.8163265304456476,0.470588235017301,1.373752900006366,0.05091559528373341,0
5,7,48,0.24320465845405473,0.033406886505180595,0.1823875234708504,0.7346938774010828,0.3157894735180055,1.3769138999923598,0.21070085750257195,0
5,7,49,0.6000254591811763,0.045779065367425965,0.2139604294429836,0.8775510202290712,0.24999999968749997,1.3903874999959953,0.021838489514387036,0
5,10,40,0.20018353941454894,0.01228484775359148,0.0843547177751966,0.79999999992,0.5238095236848073,1.400024000002304,0.05258668866356687,0
5,10,41,0.15369279069278638,0.00657600034475146,0.06911068429659298,0.829999999917,0.5405405403944485,1.4706003000028431,0.0010358986386352262,0
5,10,42,0.20170625800898437,0.009257252215919078,0.0900021689813925,0.679999999932,0.44827586199167657,1.4389902999973856,0.08755912449741142,0
5,10,43,0.30339422158066737,0.0318764084465184,0.17163995918066044,0.8499999999150001,0.44444444427983537,1.4430662000086159,0.013185781552112282,0
5,10,44,0.26273626172344616,0.01767107997057917,0.12175917182380866,0.8499999999150001,0.5161290320915712,1.5566650999971898,0.04143862706823001,0
5,10,45,0.1849045788853728,0.010833097082644128,0.08948979825672698,0.729999999927,0.4489795917451062,1.5561622999957763,0.06473192001068609,0
